,recipe_id,ingredient,readings,amount
0,2866389,厚揚げ豆腐,アツアゲトウフ,2枚(240g使用)
1,2866389,ピーマン,ピーマン,2〜3個
2,2866389,砂糖,サトウ,1.0
3,2866389,みりん,ミリン,4.5
4,2866389,酒,サケ,6.0
5,2866389,醤油,ショウユ,4.5
6,2866389,ゴマ油,ゴマアブラ,2.0
7,2866389,鷹の爪,タカノツメ,1本
8,3903843,ひじき(乾燥),ヒジキ(カンソウ),50g
9,3903843,きざみ油揚げ,キザミアブラアゲ,50g(約1枚分)
10,3903843,人参,ニンジン,70g
11,3903843,こんにゃく,コンニャク,0.5枚
12,3903843,大豆の水煮,ダイズノミズニ,1袋(100g)
13,3903843,サラダ油,サラダユ,3.0
14,3903843,だし汁,ダシジル,2cup(400ml)
15,3903843,酒,サケ,3.0
16,3903843,醤油,ショウユ,6.0
17,3903843,きび糖(砂糖),キびトウ(サトウ),3.0
18,3903843,みりん,ミリン,3.0
19,2500915,まぐろのあら,マグロノアラ,200g
20,2500915,,,(お刺身用のさくでもOK1本分ぐらい)
21,2500915,塩,シオ,1.5
22,2500915,ローリエの葉,ローリエノハ,1枚
23,2500915,白ワイン(なければ酒),シロワイン(ナケレバサケ),50cc
24,2500915,塩,シオ,1.5
25,2500915,水,ミズ,200cc
26,2500915,オリーブオイルかサラダ油,オリーブオイルカサラダユ,ツナがひたひたに漬かるぐらいの量
27,2167745,キャベツ,キャベツ,0.25個(300g位)
28,2167745,玉ねぎ,タマネギ,0.25個
29,2167745,バター(マーガリンでも可),バター(マーガリンデモカ),1.0
30,2167745,水,ミズ,300cc
31,2167745,コンソメ顆粒,コンソメカリュウ,0.5
32,2167745,牛乳,ギュウニュウ,100cc
33,2167745,生クリーム(なければ同量の牛乳で),ナマクリーム(ナケレバドウリョウノギュウニュウデ),100cc
34,2167745,塩,シオ,0.5
35,2167745,黒コショウ,クロコショウ,適量
36,3972003,牛肉(薄切り),ギュウニク(ウスギリ),200~300g
37,3972003,玉ねぎ,タマネギ,大1個
38,3972003,しめじ(マッシュルーム,シメジ(マッシュルーム,1株
39,3972003,赤ワイン,アカワイン,100cc
40,3972003,小麦粉,コムギコ,大1
41,3972003,ドミグラスソース缶,ドミグラスソースカン,1缶(245g位
42,3972003,水,ミズ,ドミ缶1.5杯お好みの濃度に
43,3972003,ケチャップ,ケチャップ,大4~5
44,3972003,ウスターソース,ウスターソース,大1.5
45,3972003,醤油,ショウユ,大0.5
46,3972003,コンソメの素,コンソメノモト,小1
47,3972003,塩,シオ,少々
48,3972003,コショウ,コショウ,少々
49,3972003,バター,バター,大1
50,3972003,サラダ油,サラダユ,適量
51,2813323,鶏もも肉,ニワトリモモニク,大1枚(300g)
52,2813323,長ねぎ(大),チョウネギ(ダイ),1本
